epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.8774,1.46189,3.47224,1.79659,0.33379,0.22329,0.1614,0.08705,1.61952,2.47015,2.28433,0.000166304,0.000166304,0.000166304
2,106.005,1.43504,2.69352,1.75983,0.43023,0.29323,0.25361,0.1306,1.69307,2.2153,2.26762,0.000316489,0.000316489,0.000316489
3,153.284,1.42739,2.48035,1.74242,0.43423,0.3179,0.24807,0.1326,1.68465,2.28321,2.26928,0.000450174,0.000450174,0.000450174
4,200.489,1.39505,2.29963,1.71341,0.59856,0.27191,0.26723,0.14925,1.62572,2.14318,2.2033,0.00042575,0.00042575,0.00042575
5,246.186,1.3854,2.22599,1.6981,0.47279,0.35474,0.3172,0.17576,1.63308,1.98715,2.24008,0.000401,0.000401,0.000401
6,292.949,1.33664,2.10147,1.67459,0.52927,0.33238,0.32919,0.17245,1.62366,1.94429,2.19229,0.00037625,0.00037625,0.00037625
7,339.266,1.33794,2.0439,1.66786,0.60699,0.30612,0.30011,0.16426,1.58844,2.05564,2.18209,0.0003515,0.0003515,0.0003515
8,385.743,1.31865,1.98578,1.6447,0.33057,0.35066,0.32105,0.17322,1.56884,1.96716,2.12912,0.00032675,0.00032675,0.00032675
9,431.631,1.30842,1.92358,1.63068,0.55912,0.2954,0.33756,0.18363,1.60159,1.95706,2.19819,0.000302,0.000302,0.000302
10,477.567,1.29464,1.86969,1.62504,0.69574,0.2919,0.34384,0.19632,1.519,1.92024,2.0752,0.00027725,0.00027725,0.00027725
11,523.673,1.25903,1.91417,1.79513,0.66994,0.29663,0.31729,0.17349,1.51086,2.02656,2.09663,0.0002525,0.0002525,0.0002525
12,568.833,1.2334,1.7888,1.77275,0.34122,0.43059,0.39103,0.21413,1.50189,1.82149,2.08693,0.00022775,0.00022775,0.00022775
13,613.505,1.19995,1.69727,1.74061,0.69169,0.33869,0.39033,0.21714,1.48703,1.77076,2.05518,0.000203,0.000203,0.000203
14,658.712,1.16523,1.60258,1.70617,0.59814,0.3646,0.35506,0.19002,1.52985,1.86737,2.10677,0.00017825,0.00017825,0.00017825
15,703.632,1.14528,1.55341,1.68436,0.41953,0.37268,0.37797,0.19548,1.5145,1.80247,2.10278,0.0001535,0.0001535,0.0001535
16,748.508,1.12577,1.50536,1.66824,0.36571,0.44351,0.36035,0.19035,1.52564,1.87797,2.11425,0.00012875,0.00012875,0.00012875
17,793.549,1.106,1.45655,1.65052,0.46844,0.33076,0.35893,0.2006,1.52971,1.85327,2.10805,0.000104,0.000104,0.000104
18,838.529,1.08382,1.39813,1.62827,0.42542,0.38383,0.39091,0.20668,1.52241,1.79819,2.1196,7.925e-05,7.925e-05,7.925e-05
19,884.277,1.05542,1.34333,1.60869,0.43698,0.33662,0.35914,0.20007,1.53485,1.8358,2.13031,5.45e-05,5.45e-05,5.45e-05
20,929.438,1.04734,1.32187,1.592,0.47375,0.35975,0.37961,0.20329,1.52845,1.81289,2.14396,2.975e-05,2.975e-05,2.975e-05
